date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210211,RI,120381,,644307.0,,totalTestEncountersViral,2714191,238.0,8657.0,45.0,,22.0,,7453.0,A+,2/11/2021 13:00,2021-02-11T13:00:00Z,02/11 08:00,2274,8657.0,2021-02-11T13:00:00Z,,143674.0,2570517.0,,,,2714191.0,764688.0,,,,,,,,,,,44,488,1795,764688,23169,764688,15,42,1a038ed9533b69c18b1848a103ed3da8b23fec1e,0,0,0,0,0,
20210211,SC,476287,56852.0,4080696.0,,posNeg,4556983,1391.0,19086.0,329.0,,195.0,,213484.0,A+,2/9/2021 23:59,2021-02-09T23:59:00Z,02/09 18:59,7837,19086.0,2021-02-09T23:59:00Z,4500131.0,538979.0,3961152.0,419435.0,7010.0,827.0,,,125783.0,24233.0,101550.0,,,,,,738044.0,96880.0,45,3147,19004,4556983,22151,4556983,95,145,7a4c1af93aa7c40110c4e1da45ac654804d8c1d8,0,0,0,0,0,
20210211,SD,109859,12007.0,301446.0,,totalTestsPeopleViral,411305,104.0,6411.0,17.0,,6.0,,105821.0,A+,2/10/2021 14:00,2021-02-10T14:00:00Z,02/10 09:00,1829,6411.0,2021-02-10T14:00:00Z,922368.0,,,97852.0,,,,411305.0,,,,,,,,,,,46,279,1385,411305,1664,411305,14,14,20b7b0f1d312bbf7be3b946300b05458edbc88d2,0,0,0,0,0,
20210211,TN,752033,118126.0,5913527.0,,posNeg,6665560,1385.0,17920.0,362.0,,199.0,,716136.0,A+,2/11/2021 15:00,2021-02-11T15:00:00Z,02/11 10:00,10812,17920.0,2021-02-11T15:00:00Z,6547434.0,731036.0,5816398.0,633907.0,8706.0,2106.0,,,,,,,,,,,1212208.0,129106.0,47,1624,23004,6665560,24628,6665560,81,45,1c150a0832b8977a5a4904658084bf24f846a687,0,0,0,0,0,
20210211,TX,2529343,332461.0,,,totalTestsViral,18506265,8933.0,,2703.0,,,,2184719.0,A+,2/11/2021 17:05,2021-02-11T17:05:00Z,02/11 12:05,39771,,2021-02-11T17:05:00Z,18506265.0,2489681.0,,2196882.0,,,,,977294.0,137659.0,,,,,,,2083584.0,182973.0,48,11890,0,2529343,91398,2529343,385,0,c9370ca900e4f74fa0c84ccbc8ee708b65e70bdc,0,0,0,0,0,
20210211,UT,358581,,1477067.0,,totalTestsViral,2712198,363.0,14054.0,128.0,2212.0,,766.0,328315.0,A+,2/11/2021 10:23,2021-02-11T10:23:00Z,02/11 05:23,1774,14054.0,2021-02-11T10:23:00Z,2712198.0,333108.0,2379090.0,305495.0,,,,1782562.0,,,,,,,321054.0,52517.0,834266.0,54791.0,49,1242,4998,1835648,11904,1835648,9,47,be4b5783fc9ca836ed8a95af8266702736a8ae36,0,0,0,0,0,
20210211,VA,541018,111239.0,,274.0,totalTestEncountersViral,5518735,2136.0,22615.0,451.0,,289.0,,42518.0,A+,2/10/2021 17:00,2021-02-10T17:00:00Z,02/10 12:00,6958,22615.0,2021-02-10T17:00:00Z,,526013.0,,429779.0,5978.0,980.0,5518735.0,,214093.0,25169.0,,,,,,,1192537.0,111809.0,51,3699,0,541292,32599,541018,26,145,99f4ea415d6d4e2260919e95ce71f1fd5200e786,0,0,0,0,0,
20210211,VI,2505,,41876.0,99.0,posNeg,44381,,,,,,,2396.0,D,2/11/2021 09:27,2021-02-11T09:27:00Z,02/11 04:27,25,,2021-02-11T09:27:00Z,,,,,25.0,,,44480.0,,,,,,,,,,,78,20,435,44480,455,44381,1,0,7559ba7bfc6f8051c577a4822ba11eadbc1be369,0,0,0,0,0,
20210211,VT,13249,341.0,301897.0,,totalTestsViral,951720,54.0,,10.0,,,,10154.0,B,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,188,,2021-02-10T23:59:00Z,951720.0,,,12908.0,,,,314805.0,,,,,,,,,,,50,127,947,315146,9444,315146,1,0,eaaac2544331e19f00fa108fcf98a1a79dfd4745,0,0,0,0,0,
20210211,WA,324706,16314.0,4506197.0,,totalTestEncountersViral,4814665,704.0,18516.0,160.0,,61.0,,,A+,2/10/2021 02:59,2021-02-10T02:59:00Z,02/09 21:59,4603,18516.0,2021-02-10T02:59:00Z,,308338.0,4506197.0,308392.0,,,4814665.0,,,,,,,,,,,,53,681,20233,4830903,20740,4830903,45,-14,7ce07f198f2beaf56d680cff383fa9af8eb75989,0,0,0,0,0,
20210211,WI,604683,51573.0,2552481.0,48.0,totalTestEncountersViral,6424253,489.0,25142.0,127.0,2217.0,,,534164.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,6723,25142.0,2021-02-11T00:00:00Z,,,,553110.0,6140.0,583.0,6424253.0,3105591.0,,,,,,,,,,,55,1428,5905,3157212,39684,3157164,18,52,f4bdbc101d5ed9d3ff4e48803fe522ebdc988b97,0,0,0,0,0,
20210211,WV,126420,25169.0,1927730.0,,posNeg,2054150,364.0,,82.0,,40.0,,110698.0,B,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,2187,,2021-02-10T23:59:00Z,2028981.0,,,101251.0,1863.0,324.0,,,31492.0,,,,,,,,,,54,469,12240,2054150,12709,2054150,12,0,bb4710134a44d740145749032c548777897acc58,0,0,0,0,0,
